,TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,TransactionHour,TimeSinceLastTransaction,TransactionAmountRelativeToBalance,IsNewDevice,FailedLoginFlag,MahalanobisDistance,Cluster
2247,TX002248,AC00003,207.47,2023-10-02 18:57:19,Debit,Miami,D000643,147.234.20.46,M045,ATM,53,Doctor,12,1,1688.9,2024-11-04 08:07:01,18,-34434582.0,0.12284327004059879,True,False,1.765508959887163,1
1850,TX001851,AC00004,13.16,2023-05-01 17:36:10,Debit,Mesa,D000098,161.177.41.214,M084,Branch,43,Engineer,98,1,1019.46,2024-11-04 08:10:30,17,-47745260.0,0.012908794725552796,True,False,2.468446898573361,1
706,TX000707,AC00004,642.54,2023-05-10 18:49:20,Debit,Milwaukee,D000663,166.79.195.157,M025,Branch,44,Engineer,28,1,3143.17,2024-11-04 08:10:37,18,-46963277.0,0.2044241953046631,True,False,2.866418319497084,1
1647,TX001648,AC00004,99.25,2023-06-26 16:53:58,Credit,Phoenix,D000524,17.87.7.140,M048,Online,63,Retired,93,1,2570.34,2024-11-04 08:07:33,16,-42909215.0,0.03861356848271602,True,False,1.437385327652645,1
222,TX000223,AC00004,547.87,2023-07-10 17:15:27,Debit,Columbus,D000183,188.205.152.176,M064,ATM,64,Retired,131,1,6155.76,2024-11-04 08:10:31,17,-41698504.0,0.08900119548357767,True,False,3.210612147633266,1
2441,TX002442,AC00004,61.62,2023-10-09 16:01:25,Debit,Miami,D000134,93.218.115.132,M066,Online,57,Doctor,19,1,8365.37,2024-11-04 08:12:02,16,-33840637.0,0.007366081826188103,True,False,2.0880355395401793,1
2390,TX002391,AC00004,136.31,2023-10-30 16:38:14,Debit,Nashville,D000405,6.234.101.35,M055,Online,74,Retired,65,1,4384.95,2024-11-04 08:08:41,16,-32023827.0,0.031085873200182735,True,False,2.501545957267482,1
1819,TX001820,AC00004,365.43,2023-11-23 16:51:06,Debit,Portland,D000146,136.172.149.77,M014,ATM,25,Student,176,1,1073.51,2024-11-04 08:09:24,16,-29949498.0,0.34040670007352797,True,False,2.725376093244697,1
2327,TX002328,AC00004,273.24,2023-12-12 16:56:18,Debit,Fresno,D000626,211.45.75.44,M011,Branch,51,Retired,173,1,2202.21,2024-11-04 08:10:05,16,-28307627.0,0.12407536009701453,True,False,2.9185918747067694,1
244,TX000245,AC00004,40.66,2024-01-01 16:08:49,Debit,Louisville,D000214,148.25.159.90,M061,Branch,59,Retired,156,1,1153.84,2024-11-04 08:11:28,16,-26582559.0,0.03523885430181954,True,False,1.8012338706013706,1
2314,TX002315,AC00005,162.59,2023-02-22 16:18:32,Debit,Indianapolis,D000401,201.95.180.152,M098,Branch,64,Retired,19,1,7104.83,2024-11-04 08:08:46,16,-53625014.0,0.022884432107616325,True,False,2.029407681728919,1
943,TX000944,AC00005,377.92,2023-02-22 17:29:36,Debit,Raleigh,D000360,179.43.245.131,M029,Branch,33,Engineer,204,1,2254.71,2024-11-04 08:06:53,17,-53620637.0,0.167613572620809,True,False,1.6404940244420996,1
1791,TX001792,AC00005,680.76,2023-02-27 16:38:41,Debit,Kansas City,D000035,60.89.202.192,M011,Branch,21,Student,165,1,572.97,2024-11-04 08:09:04,16,-53191823.0,1.1881250119879747,True,False,4.166284690445822,1
546,TX000547,AC00005,420.28,2023-05-17 17:28:25,Debit,Washington,D000677,110.150.1.201,M002,Branch,35,Doctor,144,1,8557.32,2024-11-04 08:09:01,17,-46363236.0,0.04911350744261812,True,False,5.9486395388605775,1
759,TX000760,AC00005,417.8,2023-06-26 16:21:14,Credit,Philadelphia,D000630,49.31.186.82,M066,Branch,27,Student,130,1,1518.82,2024-11-04 08:09:17,16,-42911283.0,0.2750819697193745,True,False,2.674070453428299,1
194,TX000195,AC00005,488.54,2023-07-03 17:47:49,Debit,Jacksonville,D000466,198.24.183.157,M036,Branch,52,Engineer,132,1,7486.63,2024-11-04 08:07:26,17,-42301177.0,0.06525499448315865,True,False,1.9537798405177054,1
1970,TX001971,AC00005,116.89,2023-11-20 16:31:15,Debit,Columbus,D000328,146.250.144.172,M064,Online,71,Retired,226,1,4880.31,2024-11-04 08:06:37,16,-30209722.0,0.023951347303857035,True,False,2.142818639312114,1
2082,TX002083,AC00005,359.51,2023-11-30 18:08:39,Debit,Charlotte,D000144,32.169.88.41,M010,Online,79,Retired,157,1,7153.72,2024-11-04 08:12:11,18,-29340212.0,0.05025497216796999,True,False,3.951380239093581,0
1037,TX001038,AC00005,107.48,2023-12-04 18:01:53,Debit,Omaha,D000221,44.73.3.217,M080,Branch,22,Student,129,1,591.23,2024-11-04 08:08:11,18,-28994778.0,0.18179050146659506,True,False,2.925692388182552,1
661,TX000662,AC00006,158.56,2023-02-28 17:28:13,Debit,Sacramento,D000027,218.238.171.184,M087,ATM,33,Doctor,100,1,5401.21,2024-11-04 08:10:48,17,-53102555.0,0.0293563849038338,True,False,2.420026758625745,1
215,TX000216,AC00006,74.88,2023-05-24 16:25:50,Debit,Atlanta,D000139,161.161.26.115,M026,ATM,25,Student,202,1,420.67,2024-11-04 08:07:46,16,-45762116.0,0.17800175486719388,True,False,2.1936110971954377,1
1405,TX001406,AC00006,611.15,2023-08-11 17:12:30,Debit,Detroit,D000044,51.250.46.149,M009,ATM,27,Student,121,1,892.83,2024-11-04 08:09:23,17,-38933813.0,0.684508801401064,True,False,3.673836167878103,1
1976,TX001977,AC00006,173.13,2023-10-05 16:46:31,Credit,Atlanta,D000485,5.50.152.168,M044,Online,20,Student,288,1,1490.34,2024-11-04 08:07:24,16,-34183253.0,0.11616812193078008,True,False,1.9439512389789528,1
76,TX000077,AC00007,162.63,2023-06-12 17:53:52,Debit,Kansas City,D000070,60.153.124.80,M060,Online,22,Student,113,1,634.17,2024-11-04 08:08:22,17,-44115270.0,0.2564454285689101,True,False,2.3779831516481478,1
838,TX000839,AC00007,637.75,2023-07-24 16:07:05,Debit,Dallas,D000561,184.57.159.204,M028,Branch,79,Retired,152,1,4202.92,2024-11-04 08:08:51,16,-40492906.0,0.1517397424844162,True,False,1.866140950745817,1
976,TX000977,AC00007,466.64,2023-09-04 16:57:31,Debit,Las Vegas,D000327,131.41.45.13,M082,ATM,58,Doctor,11,1,10915.11,2024-11-04 08:09:20,16,-36861109.0,0.04275174501883009,True,False,3.0529322794172282,1
1335,TX001336,AC00007,90.88,2023-11-20 17:08:33,Debit,Colorado Springs,D000086,175.210.47.87,M071,ATM,26,Engineer,284,1,7117.35,2024-11-04 08:10:50,17,-30207737.0,0.012768797357487269,True,False,1.9509609074305296,1
1578,TX001579,AC00007,137.48,2023-11-27 17:34:33,Debit,Seattle,D000206,66.255.7.16,M058,Branch,55,Doctor,47,1,14273.42,2024-11-04 08:08:46,17,-29601253.0,0.009631889197100701,True,False,1.7684322842350917,1
2004,TX002005,AC00008,76.16,2023-11-21 16:45:29,Debit,San Francisco,D000539,100.128.70.210,M060,ATM,23,Student,99,1,1072.25,2024-11-04 08:12:04,16,-30122795.0,0.07102821104193788,True,False,3.486269872270142,1
2511,TX002512,AC00009,243.08,2023-02-14 16:21:23,Credit,Jacksonville,D000215,59.127.135.25,M041,Online,24,Student,93,1,131.25,2024-11-04 08:07:49,16,-54315986.0,1.8520379541304417,True,False,3.0333436984237965,1
2047,TX002048,AC00009,425.18,2023-02-20 16:16:39,Credit,Fresno,D000270,27.93.195.98,M057,Online,59,Engineer,135,1,5790.55,2024-11-04 08:11:26,16,-53798087.0,0.07342653103172146,True,False,8.18550388434336,1
867,TX000868,AC00009,87.38,2023-03-03 18:23:29,Debit,Atlanta,D000356,3.200.166.167,M054,Branch,21,Student,252,1,1504.99,2024-11-04 08:09:45,18,-52839976.0,0.05806018606063704,True,False,6.5903622487253415,0
839,TX000840,AC00009,153.59,2023-05-04 17:43:59,Credit,Portland,D000270,204.120.80.105,M001,Branch,66,Retired,174,1,4813.12,2024-11-04 08:09:43,17,-47485544.0,0.03191069403648633,True,False,1.9828548417939797,1
278,TX000279,AC00009,74.85,2023-12-25 17:19:08,Debit,Raleigh,D000526,191.82.103.198,M091,ATM,72,Retired,117,1,2409.73,2024-11-04 08:11:49,17,-27183161.0,0.031061571084471818,True,False,1.7975970382914594,1
2366,TX002367,AC00010,281.91,2023-01-12 17:10:03,Debit,Denver,D000312,24.148.92.177,M069,Branch,25,Student,269,1,225.53,2024-11-04 08:07:24,17,-57164241.0,1.249988859575717,True,False,3.3577828083921686,1
1736,TX001737,AC00010,7.56,2023-02-06 16:38:45,Debit,Milwaukee,D000358,205.45.234.42,M070,ATM,40,Doctor,145,1,8528.72,2024-11-04 08:07:19,16,-55006114.0,0.0008864167179993989,True,False,2.2112530848703607,1
1759,TX001760,AC00010,1086.6,2023-05-22 17:40:46,Debit,San Diego,D000428,74.58.165.67,M016,Online,19,Student,38,1,1605.67,2024-11-04 08:10:48,17,-45930602.0,0.6767268450134407,True,False,6.822478370364426,0
1167,TX001168,AC00010,838.57,2023-06-26 16:08:25,Debit,Phoenix,D000430,115.30.82.168,M040,ATM,41,Doctor,273,1,14576.47,2024-11-04 08:11:25,16,-42912180.0,0.05752901761707121,True,False,2.5960156176489853,1
95,TX000096,AC00010,508.68,2023-06-26 16:16:50,Credit,Mesa,D000622,193.108.17.115,M048,Branch,51,Engineer,127,1,7708.41,2024-11-04 08:09:32,16,-42911562.0,0.06599026249772617,True,False,2.3930527648270825,1
179,TX000180,AC00010,34.17,2023-11-21 16:57:43,Credit,Philadelphia,D000036,177.116.108.246,M091,Online,54,Engineer,54,1,726.55,2024-11-04 08:06:29,16,-30121726.0,0.04703048589869265,True,False,1.667230347118677,1
201,TX000202,AC00010,11.18,2023-11-30 16:52:42,Debit,Atlanta,D000129,16.51.235.240,M017,Online,43,Doctor,161,1,5956.89,2024-11-04 08:10:20,16,-29344658.0,0.0018768182694714553,True,False,2.5232636638860835,1
693,TX000694,AC00011,733.29,2023-03-15 18:42:16,Debit,Virginia Beach,D000618,16.51.235.240,M032,ATM,52,Doctor,94,5,10427.0,2024-11-04 08:07:12,18,-51801896.0,0.07032607646463405,True,True,2.942582438378483,1
734,TX000735,AC00011,117.55,2023-05-19 16:35:07,Debit,Fresno,D000088,4.101.189.38,M046,ATM,24,Student,35,1,897.94,2024-11-04 08:11:13,16,-46193766.0,0.13091074981724002,True,False,2.2784111471778155,1
1014,TX001015,AC00011,688.36,2023-06-30 16:31:49,Credit,Memphis,D000235,200.136.146.93,M007,Branch,23,Student,22,1,5191.13,2024-11-04 08:11:05,16,-42565156.0,0.13260311313220222,True,False,2.8217410324393764,1
97,TX000098,AC00011,25.36,2023-07-17 17:08:24,Debit,Louisville,D000192,62.152.134.92,M007,ATM,57,Engineer,78,1,201.04,2024-11-04 08:11:05,17,-41094161.0,0.12614404466056284,True,False,2.1006952315648597,1
44,TX000045,AC00011,304.31,2023-07-26 16:52:28,Debit,Louisville,D000685,77.208.193.198,M005,Branch,27,Student,33,1,868.61,2024-11-04 08:09:53,16,-40317445.0,0.35034134593958915,True,False,3.393566593568456,1
2022,TX002023,AC00011,537.86,2023-09-19 16:44:21,Debit,Kansas City,D000159,144.228.168.6,M001,Online,27,Student,134,1,293.06,2024-11-04 08:09:27,16,-35565906.0,1.8353237618465927,True,False,2.5607794836767503,1
1559,TX001560,AC00011,31.53,2023-12-20 17:15:14,Debit,Kansas City,D000328,37.143.57.20,M095,Online,25,Student,283,1,874.93,2024-11-04 08:06:33,17,-27615079.0,0.03603716827589444,True,False,2.0831872451072466,1
2046,TX002047,AC00012,94.82,2023-03-21 16:36:30,Credit,Columbus,D000123,175.230.206.232,M011,Branch,67,Retired,56,1,1267.72,2024-11-04 08:12:17,16,-51291347.0,0.07479569562051797,True,False,2.8530204130958805,1
512,TX000513,AC00012,8.65,2023-06-05 17:08:37,Debit,Las Vegas,D000309,200.136.146.93,M037,Online,48,Doctor,273,1,10778.35,2024-11-04 08:09:03,17,-44722826.0,0.0008025347100413934,True,False,4.2438820567777205,1
1152,TX001153,AC00012,590.57,2023-06-28 16:07:37,Debit,Milwaukee,D000540,150.231.20.169,M050,ATM,79,Retired,93,1,3224.6,2024-11-04 08:07:19,16,-42739182.0,0.18314519573545496,True,False,2.341052491519541,1
727,TX000728,AC00012,137.49,2023-07-26 16:54:08,Debit,Fort Worth,D000159,42.61.10.112,M040,ATM,34,Engineer,50,1,4471.05,2024-11-04 08:07:04,16,-40317176.0,0.03075116576475064,True,False,1.1559612266788504,1
2151,TX002152,AC00012,927.45,2023-08-07 18:52:42,Debit,Austin,D000210,176.96.83.253,M027,ATM,24,Student,95,1,1161.84,2024-11-04 08:07:13,18,-39273271.0,0.7982596502249911,True,False,3.2816283327922475,1
1509,TX001510,AC00012,308.8,2023-12-26 16:08:51,Debit,Baltimore,D000256,65.164.3.100,M018,ATM,53,Retired,41,1,3966.54,2024-11-04 08:09:59,16,-27100868.0,0.07785122530504866,True,False,2.1869142640382413,1
575,TX000576,AC00013,33.46,2023-02-20 16:52:03,Debit,Seattle,D000617,189.248.139.91,M003,ATM,72,Retired,111,1,3641.07,2024-11-04 08:09:12,16,-53795829.0,0.009189606326740199,True,False,2.770313131504186,1
1290,TX001291,AC00013,427.69,2023-03-28 16:02:03,Debit,Raleigh,D000347,24.148.92.177,M088,ATM,43,Engineer,236,1,2443.54,2024-11-04 08:11:53,16,-50688590.0,0.1750288508678849,True,False,2.6067903418245972,1
1009,TX001010,AC00013,75.04,2023-07-27 17:04:46,Debit,El Paso,D000037,52.1.78.30,M056,ATM,49,Engineer,178,1,9648.6,2024-11-04 08:07:28,17,-40230162.0,0.007777294107147883,True,False,2.430659757498501,1
2155,TX002156,AC00013,172.92,2023-08-28 16:56:05,Debit,Miami,D000519,214.67.148.245,M052,Online,20,Student,212,1,416.37,2024-11-04 08:08:14,16,-37465929.0,0.4153036862573267,True,False,4.919108621250208,0
106,TX000107,AC00013,114.98,2023-11-01 16:52:01,Debit,Seattle,D000182,115.218.48.83,M032,Online,59,Retired,80,1,6144.68,2024-11-04 08:09:24,16,-31850243.0,0.01871212167482746,True,False,4.205718595198008,1
1979,TX001980,AC00013,422.81,2023-11-20 16:07:20,Debit,Los Angeles,D000050,77.92.193.22,M036,Branch,28,Student,193,1,1929.28,2024-11-04 08:10:28,16,-30211388.0,0.2191542947671966,True,False,2.4376313699490644,1
779,TX000780,AC00013,138.11,2023-12-11 17:29:02,Credit,Phoenix,D000227,20.147.6.179,M001,Online,68,Retired,104,1,4177.65,2024-11-04 08:07:04,17,-28391882.0,0.033059255722573094,True,False,2.060907159386566,1
577,TX000578,AC00013,246.27,2023-12-27 16:48:30,Debit,Fresno,D000102,144.91.150.133,M058,Online,29,Doctor,141,1,7299.86,2024-11-04 08:10:57,16,-27012147.0,0.03373626338897422,True,False,2.6146263913267425,1
2446,TX002447,AC00014,719.76,2023-03-30 17:50:23,Debit,San Francisco,D000548,161.25.82.11,M038,Branch,19,Student,190,1,690.52,2024-11-04 08:11:25,17,-50509262.0,1.0423448844009604,True,False,1.9909913747817352,1
374,TX000375,AC00014,643.22,2023-05-03 17:04:32,Debit,Atlanta,D000248,175.166.115.182,M073,ATM,64,Doctor,93,1,1035.86,2024-11-04 08:07:46,17,-47574194.0,0.6209526323928656,True,False,2.7242800875997752,1
1233,TX001234,AC00014,605.42,2023-06-13 16:10:27,Debit,Mesa,D000488,25.188.196.47,M085,ATM,21,Student,33,1,392.34,2024-11-04 08:09:40,16,-44035153.0,1.5431003327955262,True,False,2.81006207301213,1
519,TX000520,AC00014,121.91,2023-06-26 18:39:52,Debit,Chicago,D000264,135.29.211.116,M015,Branch,60,Doctor,133,1,14510.8,2024-11-04 08:08:59,18,-42902947.0,0.008401328659755956,True,False,2.8670433456383755,1
79,TX000080,AC00014,174.25,2023-07-17 18:54:31,Debit,Seattle,D000375,130.92.201.49,M032,Online,50,Doctor,67,1,10528.34,2024-11-04 08:10:29,18,-41087758.0,0.016550567310183215,True,False,2.5164869686936298,1
656,TX000657,AC00014,427.0,2023-07-31 17:04:29,Credit,Oklahoma City,D000629,183.39.94.209,M065,Branch,49,Engineer,163,1,8253.65,2024-11-04 08:07:30,17,-39884581.0,0.051734687015157314,True,False,2.4789763812342605,1
21,TX000022,AC00014,85.77,2023-08-11 18:31:31,Debit,Las Vegas,D000268,59.132.247.252,M065,Branch,38,Doctor,93,1,9146.19,2024-11-04 08:08:13,18,-38929002.0,0.009377675284049779,True,False,2.174361321108288,1
2123,TX002124,AC00014,10.3,2023-12-07 16:59:06,Debit,Fresno,D000494,150.231.20.169,M022,ATM,47,Engineer,197,1,7801.32,2024-11-04 08:10:12,16,-28739466.0,0.0013202893852318719,True,False,1.5013183566047688,1
739,TX000740,AC00014,346.65,2024-01-01 16:17:13,Debit,Washington,D000077,43.98.242.106,M062,Online,30,Engineer,60,1,6356.96,2024-11-04 08:06:58,16,-26581785.0,0.05453078192322937,True,False,4.537274311492091,1
1455,TX001456,AC00015,774.48,2023-03-06 16:12:45,Debit,Louisville,D000233,76.136.92.235,M013,Branch,61,Doctor,31,1,11613.58,2024-11-04 08:08:33,16,-52588548.0,0.06668744687969821,True,False,2.4700141249939422,1
1466,TX001467,AC00015,73.35,2023-03-13 16:33:49,Debit,San Francisco,D000340,9.230.41.239,M093,Branch,24,Student,47,1,1181.84,2024-11-04 08:09:57,16,-51982568.0,0.06206423828890342,True,False,1.7389459484598027,1
1619,TX001620,AC00015,50.9,2023-04-24 16:14:34,Credit,Jacksonville,D000549,131.41.45.13,M089,Online,28,Student,150,1,1277.7,2024-11-04 08:06:36,16,-48354722.0,0.03983720717040614,True,False,2.887612926328084,1
1561,TX001562,AC00015,250.01,2023-11-06 16:28:15,Debit,Kansas City,D000191,157.47.114.20,M057,ATM,62,Retired,88,1,1541.48,2024-11-04 08:12:10,16,-31419835.0,0.16218828552956713,True,False,2.750502532192712,1
1180,TX001181,AC00016,50.0,2023-02-24 18:05:12,Credit,Jacksonville,D000309,150.231.20.169,M018,ATM,53,Doctor,87,1,185.87,2024-11-04 08:11:22,18,-53445970.0,0.269005204228482,True,False,3.5769624070070223,1
2334,TX002335,AC00016,1105.88,2023-03-06 17:37:32,Debit,Omaha,D000159,41.82.55.163,M047,ATM,34,Engineer,36,1,2636.32,2024-11-04 08:11:22,17,-52583630.0,0.4194786656419605,True,False,5.062871880287518,1
1134,TX001135,AC00016,26.27,2023-03-17 16:22:52,Credit,Portland,D000332,62.27.235.199,M027,Online,45,Engineer,177,1,8853.93,2024-11-04 08:10:21,16,-51637649.0,0.0029670440098724022,True,False,2.223571204518958,1
1591,TX001592,AC00016,314.52,2023-03-20 17:21:43,Debit,Memphis,D000361,146.69.70.214,M057,ATM,80,Retired,229,1,7071.32,2024-11-04 08:06:44,17,-51374701.0,0.04447825859319299,True,False,2.098898578455774,1
1968,TX001969,AC00016,705.34,2023-09-12 18:52:56,Debit,Washington,D000562,63.67.150.226,M026,Online,59,Doctor,124,1,5003.22,2024-11-04 08:12:18,18,-36163162.0,0.1409772103945515,True,False,2.255664060689055,1
1541,TX001542,AC00016,69.96,2023-10-16 17:43:00,Debit,Baltimore,D000397,184.146.10.88,M060,Branch,28,Student,31,1,164.12,2024-11-04 08:08:13,17,-33229513.0,0.4262734324717625,True,False,2.4592885712872325,1
1863,TX001864,AC00017,103.48,2023-01-30 16:04:17,Debit,Baltimore,D000640,1.98.25.114,M095,ATM,32,Engineer,33,1,6494.25,2024-11-04 08:09:34,16,-55613117.0,0.01593409552152428,True,False,3.67651021737617,1
951,TX000952,AC00017,492.84,2023-03-01 17:43:22,Debit,Indianapolis,D000514,81.248.235.147,M081,ATM,25,Student,38,1,577.67,2024-11-04 08:09:23,17,-53015161.0,0.8531514384830191,True,False,2.391592749668055,1
1669,TX001670,AC00017,261.63,2023-05-29 18:27:43,Debit,Chicago,D000622,77.7.223.184,M018,Branch,20,Student,150,1,477.03,2024-11-04 08:09:33,18,-45322910.0,0.5484560604478532,True,False,2.30172657849532,0
970,TX000971,AC00017,215.39,2023-06-21 16:23:53,Debit,Detroit,D000409,196.121.240.10,M019,ATM,27,Student,216,1,1582.55,2024-11-04 08:11:13,16,-43343240.0,0.13610312384377665,True,False,2.8065401387586464,1
1336,TX001337,AC00017,60.11,2023-11-27 17:39:39,Credit,Albuquerque,D000636,8.243.4.138,M067,Branch,61,Retired,122,1,7235.87,2024-11-04 08:08:09,17,-29600910.0,0.008307224966303673,True,False,2.341236444607795,1
1497,TX001498,AC00018,1228.81,2023-02-20 16:36:36,Debit,San Francisco,D000381,63.191.171.41,M034,ATM,26,Student,254,1,1821.0,2024-11-04 08:09:05,16,-53796749.0,0.6747995569752907,True,False,2.560186823485168,1
1801,TX001802,AC00018,331.32,2023-06-05 17:24:29,Debit,Sacramento,D000334,200.164.13.160,M078,Branch,61,Doctor,137,5,13054.54,2024-11-04 08:07:35,17,-44721786.0,0.025379676323041885,True,True,2.8157764252077784,1
101,TX000102,AC00018,98.54,2023-08-11 16:18:46,Credit,El Paso,D000528,34.125.226.63,M095,Online,20,Student,167,1,9383.43,2024-11-04 08:10:02,16,-38937076.0,0.010501490381980267,True,False,2.5319011665482782,1
2085,TX002086,AC00019,291.46,2023-02-08 16:29:56,Debit,Miami,D000665,149.84.108.18,M046,ATM,57,Retired,135,1,7142.53,2024-11-04 08:10:03,16,-54834007.0,0.04080626886998547,True,False,3.4085447316100588,1
1682,TX001683,AC00019,41.13,2023-03-27 17:53:15,Credit,Philadelphia,D000655,109.42.41.157,M030,Branch,77,Retired,58,1,6067.54,2024-11-04 08:10:03,17,-50768208.0,0.00677869448445549,True,False,2.081630201117482,1
2413,TX002414,AC00019,489.31,2023-04-03 16:34:10,Debit,Louisville,D000293,156.235.3.171,M089,Branch,43,Engineer,36,1,5595.22,2024-11-04 08:12:22,16,-50168292.0,0.08745143160152517,True,False,3.140487223372028,1
2,TX000003,AC00019,126.29,2023-07-10 18:16:08,Debit,Mesa,D000235,215.97.143.157,M009,Online,19,Student,56,1,1122.35,2024-11-04 08:07:04,18,-41694656.0,0.1125228305562184,True,False,2.5934114273218642,1
1325,TX001326,AC00020,359.65,2023-01-12 17:58:56,Credit,Jacksonville,D000133,45.64.74.86,M085,Online,25,Student,289,1,219.53,2024-11-04 08:09:04,17,-57161408.0,1.6382725988123445,True,False,2.5691040667001896,1
1829,TX001830,AC00020,91.77,2023-03-15 17:39:11,Debit,Omaha,D000504,93.160.83.196,M042,Branch,51,Doctor,174,1,9240.73,2024-11-04 08:07:12,17,-51805681.0,0.009931033576426286,True,False,2.1286076268398713,1
403,TX000404,AC00020,353.82,2023-04-10 17:57:59,Debit,Milwaukee,D000043,72.128.135.172,M035,ATM,42,Doctor,143,1,705.75,2024-11-04 08:06:40,17,-49558121.0,0.5013389939590649,True,False,2.0312632415743708,1
2027,TX002028,AC00020,28.52,2023-06-02 16:54:12,Debit,Detroit,D000700,40.10.25.102,M021,ATM,20,Student,163,1,662.51,2024-11-04 08:08:28,16,-44982856.0,0.04304840616672343,True,False,2.509467217397619,1
205,TX000206,AC00020,288.04,2023-08-24 16:47:21,Debit,Denver,D000582,205.69.66.135,M092,ATM,68,Retired,63,1,1748.02,2024-11-04 08:10:00,16,-37812159.0,0.16478072239001432,True,False,2.4446806062002677,1
1258,TX001259,AC00020,603.23,2023-08-24 17:34:13,Debit,Detroit,D000238,38.210.156.148,M017,Branch,28,Student,48,1,117.98,2024-11-04 08:08:18,17,-37809245.0,5.112984818360331,True,False,2.56837077461889,1
1714,TX001715,AC00020,589.64,2023-09-21 16:05:38,Debit,Charlotte,D000443,187.52.200.18,M050,Online,62,Retired,210,1,2039.4,2024-11-04 08:11:53,16,-35395575.0,0.28912425081335563,True,False,2.65852325911615,1
2169,TX002170,AC00020,592.24,2023-10-16 16:49:07,Debit,Tucson,D000201,159.37.30.154,M034,ATM,52,Doctor,140,1,9817.05,2024-11-04 08:07:20,16,-33232693.0,0.06032769512192798,True,False,4.125185890819434,0
1138,TX001139,AC00020,881.1,2023-11-13 16:46:06,Debit,Phoenix,D000309,87.50.72.69,M093,Branch,28,Student,16,1,9951.68,2024-11-04 08:08:10,16,-30813724.0,0.08853781463176287,True,False,2.297212556665845,1
